model,layer,k,mode,seed,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
pretrained,2,20,l2,3,0.04505317658185959,2.8498665301498254,62.23988005319333,0.23153152983350747,0.2095,0.7708647847175598,20.326431274414062
pretrained,2,20,l2,4,0.03426758199930191,2.9068410760416414,61.776439387341334,0.23947673810808706,0.219,0.7708647847175598,20.326431274414062
pretrained,3,20,l2,0,0.03734985738992691,2.9266796579170777,67.99434846096787,0.21496946818638732,0.1975,0.7867611050605774,17.626256942749023
pretrained,3,20,l2,1,0.038514237850904465,2.84784758242957,68.42375467384487,0.2110782522025621,0.188,0.7867611050605774,17.626256942749023
pretrained,3,20,l2,2,0.04684258997440338,2.8013080501385437,68.36479489050754,0.22216692990084205,0.194,0.7867611050605774,17.626256942749023
pretrained,3,20,l2,3,0.03708680346608162,3.0374371207770277,68.01544434526114,0.19164609940844204,0.176,0.7867611050605774,17.626256942749023
pretrained,3,20,l2,4,0.040164925158023834,2.7214335113266044,68.10421234294668,0.20262160425368478,0.1885,0.7867611050605774,17.626256942749023
pretrained,4,20,l2,0,0.03549787774682045,2.9706696838916953,75.19131799739574,0.21004511780149418,0.18,0.8126251697540283,14.763115882873535
pretrained,4,20,l2,1,0.03329583629965782,2.957108749410122,75.16676520974912,0.1972935405055997,0.178,0.8126251697540283,14.763115882873535
pretrained,4,20,l2,2,0.03978339210152626,3.0999055250088823,74.34346143987446,0.1825699644264737,0.172,0.8126251697540283,14.763115882873535
pretrained,4,20,l2,3,0.04174547642469406,3.110775743372325,74.21602124073927,0.20718703972126018,0.179,0.8126251697540283,14.763115882873535
pretrained,4,20,l2,4,0.03770390897989273,2.9331078430066944,75.34618071270305,0.211598175779082,0.187,0.8126251697540283,14.763115882873535
pretrained,5,20,l2,0,0.04993996396660805,2.8215771820916133,74.0938700489924,0.18906215203694848,0.1685,0.8210451602935791,14.335603713989258
pretrained,5,20,l2,1,0.03112807683646679,3.0430537124009494,74.03977431666212,0.19580306989039517,0.176,0.8210451602935791,14.335603713989258
pretrained,5,20,l2,2,0.04786456376314163,2.767807133240395,73.7265111406711,0.19016776491861906,0.167,0.8210451602935791,14.335603713989258
pretrained,5,20,l2,3,0.0313747338950634,3.0208680305435833,73.69467857909267,0.2155674196608429,0.196,0.8210451602935791,14.335603713989258
pretrained,5,20,l2,4,0.03520181402564049,3.015677880044204,74.19378429226118,0.2019383388063115,0.1805,0.8210451602935791,14.335603713989258
pretrained,6,20,l2,0,0.03194680064916611,3.104032357659137,72.51183730301022,0.18933481305323982,0.1715,0.8154336214065552,14.338606834411621
pretrained,6,20,l2,1,0.03772932291030884,3.042989858193249,72.22838680772222,0.19925205652820338,0.1755,0.8154336214065552,14.338606834411621
pretrained,6,20,l2,2,0.03261283412575722,2.9689518053727437,72.38481878470999,0.19766045934835252,0.176,0.8154336214065552,14.338606834411621
pretrained,6,20,l2,3,0.03635621815919876,3.009989584895148,72.76637969853918,0.18589925347372135,0.182,0.8154336214065552,14.338606834411621
pretrained,6,20,l2,4,0.04349310323596001,2.8055003903291715,72.41976313200242,0.18653117125695845,0.163,0.8154336214065552,14.338606834411621
pretrained,7,20,l2,0,0.027442175894975662,3.2130386001192894,67.55624292570256,0.19551888775537626,0.179,0.8094843626022339,14.825540542602539
pretrained,7,20,l2,1,0.03318473696708679,3.2261019611446207,67.69302358742227,0.19855251463840648,0.174,0.8094843626022339,14.825540542602539
pretrained,7,20,l2,2,0.03533624857664108,3.1380628040434124,67.38273013996442,0.1846498330671811,0.172,0.8094843626022339,14.825540542602539
pretrained,7,20,l2,3,0.030363479629158974,3.093710167758354,68.10015565609129,0.1891076765916102,0.1695,0.8094843626022339,14.825540542602539
pretrained,7,20,l2,4,0.03505562245845795,3.0565720672508014,67.7468722907999,0.19243784878021694,0.1775,0.8094843626022339,14.825540542602539
pretrained,8,20,l2,0,0.03525753691792488,3.1867971287063286,64.24510251869009,0.18542299997691106,0.1755,0.7994169592857361,15.951176643371582
pretrained,8,20,l2,1,0.026063961908221245,3.106743315045315,64.15383236910525,0.18653603431653992,0.1785,0.7994169592857361,15.951176643371582
pretrained,8,20,l2,2,0.026323730126023293,3.3236183998269104,63.79392933209049,0.21579473166040547,0.1915,0.7994169592857361,15.951176643371582
pretrained,8,20,l2,3,0.036781784147024155,3.2043496787911963,64.10219381400874,0.19271066411477455,0.174,0.7994169592857361,15.951176643371582
pretrained,8,20,l2,4,0.02594085782766342,3.033825151528527,64.19341529176478,0.20179829943983577,0.1795,0.7994169592857361,15.951176643371582
pretrained,9,20,l2,0,0.029271941632032394,3.09419656655798,54.03584300503196,0.24038754819401287,0.2185,0.7588948607444763,20.716650009155273
