model,pooling,clusterer,k,seed,whiten_dim,n_features,svd_time_s,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
random_seed1,layer12,spherical,20,2,20,20,0.36736559867858887,0.0006718635559082031,0.08850540220737457,2.3298032493853493,65.1306528281134,0.07050208093908773,0.126,0.005868422333151102,15.912042617797852
random_seed1,layer12,spherical,20,3,20,20,0.36736559867858887,0.0006718635559082031,0.09254610538482666,2.3109366560078923,65.25846395342069,0.06424973238563177,0.1185,0.005868422333151102,15.912042617797852
random_seed1,layer12,spherical,20,4,20,20,0.36736559867858887,0.0006718635559082031,0.09034257382154465,2.3308165386273485,64.75342889939134,0.06299731385193338,0.1205,0.005868422333151102,15.912042617797852
random_seed1,layer12,spherical,20,0,50,50,0.36736559867858887,0.0009615421295166016,0.045588813722133636,3.632171719286835,24.05247725734006,0.06196229270066597,0.124,0.0020329782273620367,43.715667724609375
random_seed1,layer12,spherical,20,1,50,50,0.36736559867858887,0.0009615421295166016,0.04322241246700287,3.8491708315179785,23.929514466576855,0.06180599556710866,0.127,0.0020329782273620367,43.715667724609375
random_seed1,layer12,spherical,20,2,50,50,0.36736559867858887,0.0009615421295166016,0.044452182948589325,3.7269317830107282,24.227141231310547,0.06165257463948737,0.119,0.0020329782273620367,43.715667724609375
random_seed1,layer12,spherical,20,3,50,50,0.36736559867858887,0.0009615421295166016,0.05035846680402756,3.660554920541693,23.91116979550303,0.0572516495301533,0.12,0.0020329782273620367,43.715667724609375
random_seed1,layer12,spherical,20,4,50,50,0.36736559867858887,0.0009615421295166016,0.043566085398197174,3.776818326023219,23.601726602741728,0.05577682586978473,0.12,0.0020329782273620367,43.715667724609375
random_seed1,layer12,spherical,20,0,100,100,0.36736559867858887,0.0013966560363769531,0.02243080921471119,5.0974842986805236,12.064430877201481,0.06132197646450951,0.129,0.0008403902756981552,90.39918518066406
random_seed1,layer12,spherical,20,1,100,100,0.36736559867858887,0.0013966560363769531,0.023956255987286568,4.945252389885607,12.23882111832296,0.0610921267707335,0.12,0.0008403902756981552,90.39918518066406
random_seed1,layer12,spherical,20,2,100,100,0.36736559867858887,0.0013966560363769531,0.026368984952569008,4.919251665772498,12.485687487043867,0.05704564792040362,0.113,0.0008403902756981552,90.39918518066406
random_seed1,layer12,spherical,20,3,100,100,0.36736559867858887,0.0013966560363769531,0.024838626384735107,5.0114685446409455,12.389397857074595,0.056984534602223115,0.1215,0.0008403902756981552,90.39918518066406
random_seed1,layer12,spherical,20,4,100,100,0.36736559867858887,0.0013966560363769531,0.02281389757990837,5.04268772755717,12.227924417980622,0.060417923549648395,0.1215,0.0008403902756981552,90.39918518066406
random_seed1,layer12,spherical,20,0,150,150,0.36736559867858887,0.002928018569946289,0.016998054459691048,5.906564958730391,8.382849449341743,0.058908257028595326,0.123,0.0003867225314024836,136.5084228515625
random_seed1,layer12,spherical,20,1,150,150,0.36736559867858887,0.002928018569946289,0.017184754833579063,5.873743442900119,8.88647870331413,0.05416000975471242,0.1185,0.0003867225314024836,136.5084228515625
random_seed1,layer12,spherical,20,2,150,150,0.36736559867858887,0.002928018569946289,0.015200652182102203,5.996271635320978,8.576183682945942,0.06344088192152715,0.1295,0.0003867225314024836,136.5084228515625
random_seed1,layer12,spherical,20,3,150,150,0.36736559867858887,0.002928018569946289,0.01700248010456562,5.949562050542541,8.430230477606683,0.06378194136621562,0.1265,0.0003867225314024836,136.5084228515625
random_seed1,layer12,spherical,20,4,150,150,0.36736559867858887,0.002928018569946289,0.01853843964636326,5.830850534929201,8.61177327246231,0.05697570720302302,0.121,0.0003867225314024836,136.5084228515625
